"";"Year";"Ticker";"RD"
"1";2015;"CRM";222130000
"2";2013;"CRM";131940000
"3";2012;"AMAT";3,21e+08
"4";2016;"CPB";3,1e+07
"5";2012;"CPB";3,2e+07
"6";2013;"AMAT";3,44e+08
"7";2012;"CRM";94780000
"8";2015;"CSCO";1,547e+09
"9";2015;"ADSK";194500000
"10";2014;"CRM";188360000
"11";2016;"NVDA";3,46e+08
"12";2014;"CSCO";1,565e+09
"13";2012;"ADSK";152700000
"14";2012;"DE";3,52e+08
"15";2015;"NVDA";3,39e+08
"16";2014;"ADSK";170500000
"17";2013;"ADSK";150800000
"18";2012;"ADI";127540000
"19";2012;"A";1,66e+08
"20";2015;"AMAT";3,65e+08
"21";2015;"DE";341100000
"22";2014;"INTU";1,86e+08
"23";2013;"CSCO";1,542e+09
"24";2016;"AMAT";3,86e+08
"25";2013;"DE";376800000
"26";2016;"DE";3,45e+08
"27";2015;"INTU";2,06e+08
"28";2012;"WDAY";20790000
"29";2016;"CSCO";1,626e+09
"30";2012;"INTU";1,63e+08
"31";2013;"CPB";3,5e+07
"32";2015;"A";8,1e+07
"33";2014;"ADI";136200000
"34";2016;"ADI";160240000
"35";2013;"A";1,81e+08
"36";2016;"CRM";260970000
"37";2015;"WDAY";99340000
"38";2014;"DE";354100000
"39";2015;"CPB";3e+07
"40";2014;"CPB";3e+07
"41";2015;"ADI";154230000
"42";2012;"NVDA";283900000
"43";2014;"AMAT";3,55e+08
"44";2014;"NVDA";3,34e+08
"45";2013;"ADI";128110000
"46";2013;"WDAY";36280000
"47";2016;"ADSK";193500000
"48";2016;"A";8,1e+07
"49";2013;"NVDA";327160000
"50";2016;"WDAY";141780000
"51";2014;"WDAY";65170000
"52";2014;"A";8,7e+07
"53";2016;"INTU";2,28e+08
"54";2013;"INTU";1,66e+08
"55";2012;"CSCO";1,358e+09
"56";2012;"RHT";63370000
"57";2016;"ORCL";1,52e+09
"58";2015;"ORCL";1,39e+09
"59";2016;"ADBE";248450000
"60";2014;"MU";3,58e+08
"61";2014;"ORCL";1,329e+09
"62";2015;"ADBE";218660000
"63";2016;"MU";4,11e+08
"64";2014;"ADBE";212050000
"65";2016;"MON";4,21e+08
"66";2015;"MU";3,79e+08
"67";2012;"MON";4,38e+08
"68";2013;"MU";2,67e+08
"69";2013;"ORCL";1,237e+09
"70";2012;"MU";2,35e+08
"71";2012;"ORCL";1,201e+09
"72";2013;"RHT";78300000
"73";2016;"RHT";121260000
"74";2012;"ADBE";189140000
"75";2015;"RHT";102490000
"76";2013;"ADBE";208700000
"77";2015;"MON";4,22e+08
"78";2014;"RHT";95260000
"79";2014;"MON";4,85e+08
"80";2013;"MON";4,36e+08
"81";2015;"ABT";3,69e+08
"82";2015;"UTX";6,11e+08
"83";2012;"BMRN";84360000
"84";2015;"BSX";2,44e+08
"85";2016;"AKAM";46760000
"86";2016;"BSX";2,56e+08
"87";2012;"ABBV";7,09e+08
"88";2012;"ABT";377030000
"89";2012;"IBM";1,094e+09
"90";2012;"MYL";117730000
"91";2013;"BMY";9,57e+08
"92";2013;"ABBV";8,46e+08
"93";2012;"BMY";1,082e+09
"94";2013;"AAPL";1,33e+09
"95";2013;"MYL";155900000
"96";2016;"GLW";1,73e+08
"97";2015;"AKAM";37670000
"98";2015;"AGN";430600000
"99";2015;"CLX";3,4e+07
"100";2015;"BA";9,05e+08
"101";2014;"BSX";2,08e+08
"102";2016;"MYL";194600000
"103";2016;"ABT";3,43e+08
"104";2015;"ACIW";33280000
"105";2015;"NEM";3,9e+07
"106";2016;"AGN";913300000
"107";2012;"AAPL";1,01e+09
"108";2014;"BMY";1,189e+09
"109";2014;"ABBV";9,07e+08
"110";2016;"VMW";3,94e+08
"111";2016;"ACIW";37660000
"112";2015;"VMW";3,42e+08
"113";2015;"NFLX";180860000
"114";2012;"VRTX";172830000
"115";2014;"NFLX";125880000
"116";2016;"NEM";2,9e+07
"117";2013;"VRTX";238460000
"118";2012;"AKAM";20370000
"119";2015;"MYL";1,59e+08
"120";2014;"ABT";3,61e+08
"121";2016;"NFLX";225190000
"122";2013;"ABT";3,59e+08
"123";2014;"DHR";-86900000
"124";2015;"PPG";1,12e+08
"125";2014;"PPG";1,17e+08
"126";2016;"CLX";3,2e+07
"127";2016;"BA";7,26e+08
"128";2014;"MYL";150200000
"129";2013;"UTX";4,71e+08
"130";2012;"PPG";9,5e+07
"131";2013;"BSX";2,17e+08
"132";2013;"PPG";1,19e+08
"133";2016;"UTX";6,26e+08
"134";2012;"CTXS";122210000
"135";2016;"AAPL";2,871e+09
"136";2015;"BMRN";176120000
"137";2014;"UTX";6,24e+08
"138";2014;"BMRN";142070000
"139";2014;"AAPL";1,895e+09
"140";2013;"BMRN";97310000
"141";2014;"ACIW";31550000
"142";2014;"NEM";3,9e+07
"143";2013;"VMW";2,85e+08
"144";2013;"ACIW";33380000
"145";2013;"NEM";5,7e+07
"146";2012;"VMW";2,68e+08
"147";2012;"ACIW";33590000
"148";2014;"PX";2,4e+07
"149";2013;"PX";2,6e+07
"150";2016;"CA";1,44e+08
"151";2012;"BSX";2,38e+08
"152";2016;"BMRN";175240000
"153";2013;"GLW";1,69e+08
"154";2014;"PFE";3,209e+09
"155";2012;"GLW";2,18e+08
"156";2013;"PFE";1,811e+09
"157";2016;"BMY";1,4e+09
"158";2012;"PFE";2,021e+09
"159";2016;"ABBV";1,23e+09
"160";2015;"BMY";1,916e+09
"161";2014;"VMW";3,03e+08
"162";2015;"VRTX";310180000
"163";2014;"VRTX";201460000
"164";2015;"WDC";3,89e+08
"165";2012;"CE";3,1e+07
"166";2014;"WDC";4,26e+08
"167";2013;"WDC";4,16e+08
"168";2012;"WDC";3,78e+08
"169";2016;"DHR";2,68e+08
"170";2015;"DHR";236100000
"171";2016;"PPG";1,15e+08
"172";2013;"CAT";4,67e+08
"173";2012;"CAT";6,13e+08
"174";2015;"GILD";7,57e+08
"175";2016;"CTXS";90750000
"176";2014;"CLX";3,3e+07
"177";2014;"BA";7,55e+08
"178";2012;"CLX";3,1e+07
"179";2016;"ALXN";206200000
"180";2015;"ALXN";191060000
"181";2014;"ALXN";129330000
"182";2015;"AAPL";2,404e+09
"183";2013;"ALXN";85780000
"184";2012;"ALXN";63410000
"185";2016;"JNJ";2,64e+09
"186";2014;"AGN";237100000
"187";2016;"CERN";145970000
"188";2013;"AGN";-240800000
"189";2015;"CERN";141260000
"190";2015;"GLW";2,08e+08
"191";2012;"PX";2,5e+07
"192";2015;"CA";1,33e+08
"193";2014;"CA";1,43e+08
"194";2013;"CA";1,44e+08
"195";2012;"CA";1,2e+08
"196";2016;"VRTX";248450000
"197";2015;"ABBV";1,075e+09
"198";2014;"AKAM";32420000
"199";2013;"AKAM";26520000
"200";2013;"JNPR";258700000
"201";2012;"JNPR";275100000
"202";2013;"IBM";1,452e+09
"203";2012;"UTX";7,12e+08
"204";2016;"MMM";4,21e+08
"205";2013;"XRX";1,55e+08
"206";2015;"MMM";4,33e+08
"207";2012;"XRX";1,6e+08
"208";2014;"MMM";4,36e+08
"209";2014;"GILD";1,045e+09
"210";2015;"CTXS";56980000
"211";2013;"CLX";3,1e+07
"212";2013;"GILD";552220000
"213";2014;"CTXS";141950000
"214";2013;"CTXS";126500000
"215";2016;"APD";1,5e+07
"216";2015;"APD";16900000
"217";2014;"APD";35400000
"218";2016;"LYB";2,6e+07
"219";2013;"APD";33500000
"220";2015;"LYB";2,6e+07
"221";2016;"PX";2,3e+07
"222";2015;"PX";2,3e+07
"223";2012;"ILMN";56910000
"224";2012;"NEM";9e+07
"225";2016;"BAX";1,57e+08
"226";2016;"PFE";2,512e+09
"227";2014;"GLW";2,1e+08
"228";2015;"PFE";2,348e+09
"229";2014;"TXN";3,11e+08
"230";2015;"XLNX";141380000
"231";2012;"CERN";78620000
"232";2013;"TXN";3,46e+08
"233";2014;"XLNX";133460000
"234";2013;"XLNX";128090000
"235";2012;"XLNX";129060000
"236";2016;"FB";1,563e+09
"237";2016;"EMN";5,6e+07
"238";2016;"SYMC";2,04e+08
"239";2013;"CE";1,2e+07
"240";2015;"EMN";7,4e+07
"241";2015;"SYMC";1,74e+08
"242";2014;"EMN";6,2e+07
"243";2014;"SYMC";1,93e+08
"244";2016;"QCOM";1,311e+09
"245";2013;"EMN";4,5e+07
"246";2015;"QCOM";1,352e+09
"247";2013;"NFLX";98130000
"248";2012;"NFLX";82140000
"249";2016;"CAT";5,22e+08
"250";2015;"CAT";5,72e+08
"251";2014;"CAT";8,23e+08
"252";2013;"BDX";1,26e+08
"253";2012;"LLY";1,463e+09
"254";2012;"BDX";1,18e+08
"255";2015;"AMGN";1,093e+09
"256";2014;"AMGN";1,234e+09
"257";2014;"RTN";1,44e+08
"258";2013;"MMM";4,38e+08
"259";2013;"RTN";1,19e+08
"260";2013;"BA";8,48e+08
"261";2012;"MMM";4,18e+08
"262";2012;"RTN";-9,2e+07
"263";2012;"BA";7,53e+08
"264";2015;"PCAR";66700000
"265";2016;"EBAY";2,92e+08
"266";2016;"ILMN";1,3e+08
"267";2015;"EBAY";2,29e+08
"268";2012;"APD";33300000
"269";2014;"LYB";3e+07
"270";2013;"LYB";4,4e+07
"271";2012;"LYB";5,7e+07
"272";2016;"TXN";3,4e+08
"273";2015;"BAX";1,61e+08
"274";2014;"BAX";1,56e+08
"275";2013;"BAX";-1,87e+08
"276";2012;"BAX";2,16e+08
"277";2012;"ISRG";41700000
"278";2014;"CE";1,8e+07
"279";2016;"BIIB";533900000
"280";2015;"FB";1,314e+09
"281";2015;"BIIB";541700000
"282";2014;"FB";1,111e+09
"283";2014;"BIIB";500070000
"284";2013;"FB";4,09e+08
"285";2013;"BIIB";422280000
"286";2016;"AMZN";4,544e+09
"287";2012;"FB";2,97e+08
"288";2012;"BIIB";345180000
"289";2015;"AMZN";3,569e+09
"290";2014;"AMZN";2,636e+09
"291";2016;"LVS";2e+06
"292";2016;"SLB";2,62e+08
"293";2016;"IBM";1,431e+09
"294";2015;"IBM";1,362e+09
"295";2016;"TSLA";245960000
"296";2014;"IBM";1,32e+09
"297";2015;"TSLA";190240000
"298";2014;"XRX";1,04e+08
"299";2014;"TSLA";139560000
"300";2016;"CELG";1,135e+09
"301";2012;"SLB";3,04e+08
"302";2013;"TSLA";68450000
"303";2016;"GILD";1,208e+09
"304";2015;"CELG";776500000
"305";2012;"TSLA";68830000
"306";2012;"ITT";14900000
"307";2012;"GILD";439710000
"308";2016;"KLAC";130910000
"309";2015;"KLAC";118270000
"310";2014;"PCAR";62500000
"311";2013;"PCAR";60900000
"312";2012;"PCAR";66400000
"313";2015;"ILMN";113820000
"314";2016;"ZBH";95700000
"315";2014;"EBAY";2,36e+08
"316";2014;"ILMN";142950000
"317";2015;"ZBH";85900000
"318";2013;"EBAY";-4,03e+08
"319";2013;"ILMN";76730000
"320";2014;"ZBH";50800000
"321";2012;"EBAY";4,16e+08
"322";2013;"ZBH";4,6e+07
"323";2016;"CMI";1,58e+08
"324";2012;"ZBH";55300000
"325";2012;"AGN";121800000
"326";2014;"CERN";106910000
"327";2015;"TXN";2,93e+08
"328";2016;"XLNX";159250000
"329";2013;"CERN";92440000
"330";2015;"MXIM";113100000
"331";2014;"SIRI";15110000
"332";2014;"MXIM";135940000
"333";2013;"MXIM";142970000
"334";2016;"MCHP";132430000
"335";2012;"SIRI";16380000
"336";2012;"MXIM";135740000
"337";2015;"MCHP";97020000
"338";2014;"MCHP";88700000
"339";2013;"MCHP";76340000
"340";2016;"INTC";3,28e+09
"341";2012;"ATVI";2,2e+08
"342";2016;"JNPR";2,63e+08
"343";2015;"JNPR";247200000
"344";2013;"SYMC";2,52e+08
"345";2014;"JNPR";233500000
"346";2016;"BDX";1,82e+08
"347";2015;"MRK";1,798e+09
"348";2013;"QCOM";1,328e+09
"349";2015;"BDX";1,87e+08
"350";2015;"SLB";2,75e+08
"351";2012;"QCOM";1,106e+09
"352";2014;"BDX";1,29e+08
"353";2014;"SLB";3,24e+08
"354";2013;"SLB";3,04e+08
"355";2013;"DHR";186700000
"356";2012;"DHR";294700000
"357";2016;"WAT";32750000
"358";2015;"EXPE";250570000
"359";2014;"EXPE";181350000
"360";2016;"REGN";479210000
"361";2013;"EXPE";155040000
"362";2015;"REGN";461210000
"363";2014;"KLAC";133560000
"364";2016;"BEN";51700000
"365";2016;"SYK";1,89e+08
"366";2012;"KLAC";121610000
"367";2015;"JNJ";3,078e+09
"368";2014;"JNJ";2,791e+09
"369";2012;"SYK";1,29e+08
"370";2013;"JNJ";2,749e+09
"371";2015;"CMI";1,77e+08
"372";2014;"CMI";1,87e+08
"373";2013;"CMI";1,81e+08
"374";2012;"CMI";1,74e+08
"375";2012;"MRK";2,224e+09
"376";2016;"WDC";5,85e+08
"377";2016;"TRIP";5,8e+07
"378";2015;"INTC";3,119e+09
"379";2015;"TRIP";5,5e+07
"380";2014;"CELG";584900000
"381";2014;"INTC";2,99e+09
"382";2014;"TRIP";4,6e+07
"383";2013;"CELG";731200000
"384";2013;"INTC";2,826e+09
"385";2013;"TRIP";3,6e+07
"386";2012;"CELG";473500000
"387";2016;"MRK";4,649e+09
"388";2014;"QCOM";1,352e+09
"389";2013;"AMZN";1,862e+09
"390";2014;"MRK";2,283e+09
"391";2016;"XRX";1,13e+08
"392";2012;"AMZN";1,345e+09
"393";2013;"MRK";1,835e+09
"394";2016;"ITT";21900000
"395";2015;"XRX";9,3e+07
"396";2016;"AMGN";1,078e+09
"397";2012;"LVS";7762000
"398";2016;"RTN";1,96e+08
"399";2015;"RTN";1,95e+08
"400";2012;"BEN";43600000
"401";2016;"MXIM";114060000
"402";2012;"EXPE";134340000
"403";2014;"REGN";351740000
"404";2013;"KLAC";134590000
"405";2013;"REGN";268140000
"406";2015;"SYK";1,64e+08
"407";2012;"REGN";181020000
"408";2014;"MSFT";2,903e+09
"409";2014;"SYK";1,53e+08
"410";2013;"MSFT";2,748e+09
"411";2013;"SYK";1,39e+08
"412";2012;"MSFT";2,528e+09
"413";2016;"SE";5786000
"414";2016;"EXPE";324100000
"415";2016;"SIRI";24560000
"416";2012;"JNJ";2,386e+09
"417";2015;"SIRI";17220000
"419";2015;"ISRG";52600000
"420";2014;"ISRG";47300000
"421";2013;"LLY";1,532e+09
"422";2013;"ISRG";41700000
"423";2013;"ATVI";1,97e+08
"424";2014;"MSI";1,65e+08
"425";2012;"MCHP";71380000
"426";2013;"TMO";104700000
"427";2013;"MSI";1,96e+08
"428";2013;"AMGN";1,249e+09
"429";2012;"MSI";5e+06
"430";2012;"AMGN";9,38e+08
"431";2012;"WAT";24960000
"432";2015;"LLY";1,643e+09
"433";2015;"LVS";2972000
"434";2014;"LLY";1,291e+09
"435";2014;"LVS";5048000
"436";2015;"MSFT";2,9e+09
"437";2013;"LVS";969000
"438";2015;"ITT";23700000
"439";2014;"ITT";20200000
"440";2016;"MSI";1,42e+08
"441";2014;"BEN";51200000
"442";2013;"ITT";18400000
"443";2015;"MSI";1,52e+08
"445";2013;"WAT";26980000
"446";2016;"PCAR";67600000
"447";2013;"WY";1e+07
"448";2016;"WY";5e+06
"449";2012;"TMO";98500000
"450";2016;"ISRG";69100000
"451";2015;"WY";6e+06
"452";2014;"WY";1e+06
"453";2016;"ATVI";2,85e+08
"454";2016;"TMO";212800000
"455";2016;"LLY";1,481e+09
"456";2012;"WY";9e+06
"457";2015;"BEN";51200000
"458";2015;"TMO";1,8e+08
"459";2014;"ATVI";1,84e+08
"460";2014;"TMO";182500000
"461";2013;"NOW";23870000
"462";2015;"ATVI";1,93e+08
"463";2015;"WAT";32190000
"464";2012;"TXN";4,25e+08
"465";2016;"CE";2e+07
"466";2013;"SIRI";15070000
"467";2012;"TRIP";24050000
"468";2015;"LRCX";220750000
"469";2015;"NOW";58440000
"470";2016;"MSFT";3,062e+09
"471";2012;"SYMC";2,49e+08
"472";2012;"LRCX";165950000
"473";2012;"NOW";13240000
"474";2014;"WAT";44180000
"475";2012;"INTC";2,629e+09
"476";2012;"EMN";6,2e+07
"477";2016;"LRCX";246800000
"478";2015;"CE";2,1e+07
"479";2014;"LRCX";196770000
"480";2014;"NOW";42030000
"481";2016;"NOW";73930000
"482";2013;"LRCX";174480000
"483";2012;"RHT";55150000
"484";2016;"ADBE";237200000
"485";2013;"RHT";71250000
"486";2015;"ADBE";215510000
"487";2014;"ADBE";209520000
"488";2014;"ORCL";1,292e+09
"489";2016;"MU";4,03e+08
"490";2016;"ORCL";1,419e+09
"491";2012;"ORCL";1,145e+09
"492";2015;"ORCL";1,37e+09
"493";2013;"ADBE";209640000
"494";2012;"MON";3,53e+08
"495";2015;"MON";3,72e+08
"496";2012;"ADBE";177730000
"497";2014;"RHT";82640000
"498";2012;"MU";2,22e+08
"499";2016;"MON";3,4e+08
"500";2015;"MU";3,79e+08
"501";2013;"ORCL";1,186e+09
"502";2015;"RHT";92040000
"503";2014;"MU";3,44e+08
"504";2013;"MON";3,6e+08
"505";2016;"RHT";108500000
"506";2014;"MON";4,04e+08
"507";2013;"MU";2,14e+08
"508";2013;"CSCO";1,452e+09
"509";2015;"A";8,8e+07
"510";2014;"A";8,8e+07
"511";2015;"CPB";2,5e+07
"512";2013;"A";1,79e+08
"513";2014;"CPB";2,7e+07
"514";2016;"ADSK";204500000
"515";2012;"A";1,62e+08
"516";2013;"CPB";3,2e+07
"517";2016;"CPB";2,3e+07
"518";2012;"CPB";2,9e+07
"519";2014;"ADSK";162400000
"520";2013;"ADSK";149400000
"521";2016;"ADI";157430000
"522";2016;"INTU";2,05e+08
"523";2016;"A";7,8e+07
"524";2015;"ADI";151710000
"525";2015;"INTU";1,88e+08
"526";2014;"ADI";128590000
"527";2014;"INTU";1,86e+08
"528";2012;"ADI";124380000
"529";2012;"INTU";1,64e+08
"530";2015;"AMAT";3,51e+08
"531";2015;"ADSK";191500000
"532";2014;"AMAT";3,56e+08
"533";2014;"CRM";173090000
"534";2016;"NVDA";3,44e+08
"535";2013;"AMAT";3,04e+08
"536";2013;"CRM";121190000
"537";2015;"NVDA";3,49e+08
"538";2012;"CRM";80610000
"539";2014;"NVDA";336810000
"540";2013;"NVDA";298010000
"541";2016;"WDAY";131240000
"542";2016;"DE";319300000
"543";2015;"WDAY";88960000
"544";2015;"DE";333200000
"545";2014;"WDAY";55320000
"546";2014;"DE";323700000
"547";2013;"WDAY";30250000
"548";2016;"AMAT";3,74e+08
"549";2013;"DE";356500000
"550";2015;"CRM";205990000
"551";2016;"CSCO";1,509e+09
"552";2012;"CSCO";1,339e+09
"553";2015;"CSCO";1,529e+09
"554";2012;"AMAT";3,04e+08
"555";2012;"ADSK";149500000
"556";2014;"CSCO";1,412e+09
"557";2013;"ADI";125160000
"558";2013;"INTU";1,69e+08
"559";2012;"NVDA";266860000
"560";2012;"WDAY";18290000
"561";2012;"DE";312500000
"562";2016;"CRM";250860000
"563";2014;"A";8,6e+07
"564";2012;"CPB";2,5e+07
"565";2013;"AMAT";3,34e+08
"566";2016;"NVDA";3,5e+08
"567";2016;"CRM";291510000
"568";2016;"INTU";2,35e+08
"569";2013;"A";1,71e+08
"570";2015;"CRM";234100000
"571";2015;"CSCO";1,548e+09
"572";2012;"A";1,62e+08
"573";2012;"AMAT";3,09e+08
"574";2016;"A";8,6e+07
"575";2012;"INTU";1,28e+08
"576";2013;"ADSK";148900000
"577";2015;"A";7,9e+07
"578";2016;"CPB";3,8e+07
"579";2015;"NVDA";3,2e+08
"580";2015;"DE";346800000
"581";2015;"CPB";3,4e+07
"582";2013;"CRM";148080000
"583";2013;"DE";338700000
"584";2012;"ADI";129690000
"585";2013;"CPB";3,4e+07
"586";2014;"CPB";3,4e+07
"587";2012;"CRM";99440000
"588";2015;"AMAT";3,72e+08
"589";2012;"DE";367800000
"590";2014;"CSCO";1,593e+09
"591";2015;"ADSK";193100000
"592";2014;"CRM";203110000
"593";2016;"CSCO";1,601e+09
"594";2016;"ADI";163230000
"595";2012;"CSCO";1,416e+09
"596";2015;"INTU";2,15e+08
"597";2014;"INTU";1,66e+08
"598";2014;"ADI";140100000
"599";2016;"WDAY";161890000
"600";2013;"CSCO";1,517e+09
"601";2013;"INTU";1,44e+08
"602";2016;"AMAT";3,86e+08
"603";2016;"ADSK";1,93e+08
"604";2012;"WDAY";23550000
"605";2012;"ADSK";144900000
"606";2015;"WDAY";115340000
"607";2012;"NVDA";281190000
"608";2014;"DE";362100000
"609";2014;"ADSK";179300000
"610";2014;"NVDA";3,37e+08
"611";2013;"WDAY";41170000
"612";2014;"AMAT";3,57e+08
"613";2013;"ADI";128890000
"614";2013;"NVDA";331740000
"615";2015;"ADI";160780000
"616";2016;"DE";338800000
"617";2014;"WDAY";77460000
"618";2016;"INTC";3,145e+09
"619";2014;"TRIP";4,1e+07
"620";2015;"SYMC";1,98e+08
"621";2016;"CAT";4,68e+08
"622";2016;"QCOM";1,268e+09
"623";2015;"MMM";4,38e+08
"624";2016;"SYMC";1,7e+08
"625";2016;"TRIP";6,3e+07
"626";2012;"VRTX";196540000
"627";2014;"SYMC";3,08e+08
"628";2015;"VRTX";223860000
"629";2014;"LVS";4217000
"630";2016;"BA";2,127e+09
"631";2015;"TRIP";5e+07
"632";2014;"VRTX";224490000
"633";2013;"MMM";4,27e+08
"634";2014;"GILD";5,84e+08
"635";2015;"LVS";2348000
"636";2014;"MMM";4,48e+08
"637";2012;"CE";2,5e+07
"638";2015;"GILD";8,18e+08
"639";2013;"CAT";5,48e+08
"640";2012;"AKAM";17540000
"641";2015;"CAT";5,1e+08
"642";2012;"ABT";370600000
"643";2012;"AAPL";8,76e+08
"644";2013;"CE";2,3e+07
"645";2013;"VRTX";222460000
"646";2016;"LVS";2e+06
"647";2013;"TRIP";3,2e+07
"648";2012;"CTXS";110030000
"649";2016;"BMRN";167040000
"650";2016;"EBAY";2,95e+08
"651";2016;"MMM";4,37e+08
"652";2014;"CAT";5,16e+08
"653";2015;"INTC";3,087e+09
"654";2013;"CTXS";132300000
"655";2014;"TXN";3,49e+08
