Ticker;Companies;Year;TobinsQ
A;1;2012;0,79
A;1;2013;1,07
A;1;2014;1,03
A;1;2015;1,54
A;1;2016;1,71
AAL;2;2012;0,09
AAL;2;2013;0,36
AAL;2;2014;
AAL;2;2015;
AAL;2;2016;
AAP;3;2012;1,15
AAP;3;2013;1,42
AAP;3;2014;1,53
AAP;3;2015;1,63
AAP;3;2016;1,46
AAPL;4;2012;2,42
AAPL;4;2013;2,18
AAPL;4;2014;2,54
AAPL;4;2015;2,17
AAPL;4;2016;2,00
ABBV;5;2012;
ABBV;5;2013;
ABBV;5;2014;
ABBV;5;2015;
ABBV;5;2016;
ABC;6;2012;0,76
ABC;6;2013;0,92
ABC;6;2014;0,90
ABC;6;2015;0,96
ABC;6;2016;0,68
ABT;7;2012;0,77
ABT;7;2013;1,23
ABT;7;2014;1,66
ABT;7;2015;1,63
ABT;7;2016;1,09
ACIW;8;2012;1,59
ACIW;8;2013;1,69
ACIW;8;2014;1,70
ACIW;8;2015;1,71
ACIW;8;2016;1,45
ADBE;9;2012;1,54
ADBE;9;2013;2,62
ADBE;9;2014;3,20
ADBE;9;2015;3,82
ADBE;9;2016;3,94
ADI;10;2012;1,48
ADI;10;2013;1,77
ADI;10;2014;1,95
ADI;10;2015;2,31
ADI;10;2016;2,17
ADM;11;2012;0,27
ADM;11;2013;0,48
ADM;11;2014;0,64
ADM;11;2015;0,48
ADM;11;2016;0,62
ADP;12;2012;0,77
ADP;12;2013;0,97
ADP;12;2014;0,86
ADP;12;2015;0,94
ADP;12;2016;1,13
ADS;13;2012;0,65
ADS;13;2013;1,03
ADS;13;2014;0,93
ADS;13;2015;0,76
ADS;13;2016;0,50
ADSK;14;2012;1,89
ADSK;14;2013;1,88
ADSK;14;2014;2,65
ADSK;14;2015;2,40
ADSK;14;2016;3,48
AEE;15;2012;0,56
AEE;15;2013;0,70
AEE;15;2014;0,80
AEE;15;2015;0,74
AEE;15;2016;0,83
AEP;16;2012;0,71
AEP;16;2013;0,73
AEP;16;2014;0,83
AEP;16;2015;0,80
AEP;16;2016;0,82
AET;17;2012;0,52
AET;17;2013;0,71
AET;17;2014;0,80
AET;17;2015;0,91
AET;17;2016;0,76
AFL;18;2012;0,28
AFL;18;2013;0,34
AFL;18;2014;0,29
AFL;18;2015;0,26
AFL;18;2016;0,26
AGN;19;2012;0,70
AGN;19;2013;1,21
AGN;19;2014;
AGN;19;2015;
AGN;19;2016;
AIG;20;2012;
AIG;20;2013;
AIG;20;2014;
AIG;20;2015;
AIG;20;2016;
AKAM;21;2012;2,60
AKAM;21;2013;2,59
AKAM;21;2014;2,72
AKAM;21;2015;2,16
AKAM;21;2016;2,57
ALL;22;2012;0,14
ALL;22;2013;0,19
ALL;22;2014;0,26
ALL;22;2015;0,22
ALL;22;2016;0,24
ALXN;23;2012;6,59
ALXN;23;2013;7,43
ALXN;23;2014;8,25
ALXN;23;2015;3,40
ALXN;23;2016;2,15
AMAT;24;2012;0,97
AMAT;24;2013;1,68
AMAT;24;2014;1,88
AMAT;24;2015;1,13
AMAT;24;2016;2,04
AME;25;2012;1,93
AME;25;2013;2,31
AME;25;2014;2,10
AME;25;2015;2,04
AME;25;2016;1,72
AMG;26;2012;1,29
AMG;26;2013;1,96
AMG;26;2014;1,72
AMG;26;2015;1,32
AMG;26;2016;1,17
AMGN;27;2012;1,22
AMGN;27;2013;1,46
AMGN;27;2014;1,79
AMGN;27;2015;1,70
AMGN;27;2016;1,33
AMP;28;2012;0,11
AMP;28;2013;0,17
AMP;28;2014;0,19
AMP;28;2015;0,16
AMP;28;2016;0,12
AMT;29;2012;2,15
AMT;29;2013;1,55
AMT;29;2014;2,53
AMT;29;2015;2,17
AMT;29;2016;2,05
AMZN;30;2012;3,52
AMZN;30;2013;4,60
AMZN;30;2014;2,74
AMZN;30;2015;5,02
AMZN;30;2016;4,36
ANDV;31;2012;0,55
ANDV;31;2013;0,64
ANDV;31;2014;0,72
ANDV;31;2015;0,91
ANDV;31;2016;0,63
APA;32;2012;0,72
APA;32;2013;0,68
APA;32;2014;0,57
APA;32;2015;0,93
APA;32;2016;1,39
APC;33;2012;0,91
APC;33;2013;0,93
APC;33;2014;0,93
APC;33;2015;0,85
APC;33;2016;1,14
APD;34;2012;1,12
APD;34;2013;1,49
APD;34;2014;1,88
APD;34;2015;1,77
APD;34;2016;2,13
APH;35;2012;
APH;35;2013;
APH;35;2014;
APH;35;2015;
APH;35;2016;2,52
ATVI;36;2012;0,58
ATVI;36;2013;0,95
ATVI;36;2014;1,03
ATVI;36;2015;2,08
ATVI;36;2016;1,70
AVB;37;2012;1,53
AVB;37;2013;1,41
AVB;37;2014;1,73
AVB;37;2015;1,87
AVB;37;2016;1,77
AWK;38;2012;0,83
AWK;38;2013;0,89
AWK;38;2014;0,98
AWK;38;2015;1,01
AWK;38;2016;1,10
AXP;39;2012;0,44
AXP;39;2013;0,66
AXP;39;2014;0,62
AXP;39;2015;0,39
AXP;39;2016;0,35
AZO;40;2012;2,89
AZO;40;2013;2,92
AZO;40;2014;3,06
AZO;40;2015;3,36
AZO;40;2016;3,19
BA;41;2012;0,60
BA;41;2013;1,04
BA;41;2014;0,87
BA;41;2015;0,92
BA;41;2016;1,04
BAC;42;2012;0,11
BAC;42;2013;0,19
BAC;42;2014;0,11
BAC;42;2015;0,18
BAC;42;2016;0,19
BAX;43;2012;
BAX;43;2013;
BAX;43;2014;
BAX;43;2015;
BAX;43;2016;
BBBY;44;2012;1,75
BBBY;44;2013;2,20
BBBY;44;2014;1,70
BBBY;44;2015;1,23
BBBY;44;2016;0,89
BBT;45;2012;0,27
BBT;45;2013;0,33
BBT;45;2014;0,33
BBT;45;2015;0,30
BBT;45;2016;0,30
BBY;46;2012;0,32
BBY;46;2013;0,80
BBY;46;2014;0,54
BBY;46;2015;0,70
BBY;46;2016;0,73
BCR;47;2012;
BCR;47;2013;
BCR;47;2014;
BCR;47;2015;
BCR;47;2016;
BDX;48;2012;1,33
BDX;48;2013;1,77
BDX;48;2014;1,45
BDX;48;2015;1,63
BDX;48;2016;1,80
BEN;49;2012;1,39
BEN;49;2013;1,83
BEN;49;2014;1,57
BEN;49;2015;0,78
BEN;49;2016;0,88
BF.A;50;2012;3,16
BF.A;50;2013;3,83
BF.A;50;2014;4,43
BF.A;50;2015;5,35
BF.A;50;2016;4,09
BG;51;2012;0,34
BG;51;2013;0,40
BG;51;2014;0,58
BG;51;2015;0,55
BG;51;2016;0,54
BHI;52;2012;
BHI;52;2013;
BHI;52;2014;
BHI;52;2015;
BHI;52;2016;
BIIB;53;2012;3,06
BIIB;53;2013;5,06
BIIB;53;2014;5,00
BIIB;53;2015;3,29
BIIB;53;2016;2,52
BK;54;2012;-0,18
BK;54;2013;-0,17
BK;54;2014;-0,07
BK;54;2015;-0,10
BK;54;2016;-0,01
BKE;55;2012;
BKE;55;2013;
BKE;55;2014;
BKE;55;2015;
BKE;55;2016;
BLK;56;2012;0,19
BLK;56;2013;0,26
BLK;56;2014;0,26
BLK;56;2015;0,25
BLK;56;2016;0,28
BLL;57;2012;1,22
BLL;57;2013;1,28
BLL;57;2014;1,59
BLL;57;2015;1,57
BLL;57;2016;1,22
BMRN;58;2012;3,79
BMRN;58;2013;4,36
BMRN;58;2014;5,24
BMRN;58;2015;4,54
BMRN;58;2016;3,47
BMY;59;2012;1,63
BMY;59;2013;2,30
BMY;59;2014;2,92
BMY;59;2015;3,73
BMY;59;2016;2,91
BRK.A;60;2012;0,58
BRK.A;60;2013;0,69
BRK.A;60;2014;0,75
BRK.A;60;2015;0,63
BRK.A;60;2016;0,68
BSX;61;2012;0,63
BSX;61;2013;1,14
BSX;61;2014;1,21
BSX;61;2015;1,63
BSX;61;2016;1,95
BWA;62;2012;1,29
BWA;62;2013;1,82
BWA;62;2014;1,71
BWA;62;2015;1,23
BWA;62;2016;1,09
BX;63;2012;0,31
BX;63;2013;0,84
BX;63;2014;0,79
BX;63;2015;1,17
BX;63;2016;0,88
BXP;64;2012;1,50
BXP;64;2013;1,23
BXP;64;2014;1,41
BXP;64;2015;1,49
BXP;64;2016;1,47
C;65;2012;0,17
C;65;2013;0,15
C;65;2014;0,17
C;65;2015;0,16
C;65;2016;0,16
CA;66;2012;0,93
CA;66;2013;1,32
CA;66;2014;1,25
CA;66;2015;1,20
CA;66;2016;1,29
CAG;67;2012;0,90
CAG;67;2013;0,89
CAG;67;2014;0,98
CAG;67;2015;1,27
CAG;67;2016;1,54
CAH;68;2012;0,52
CAH;68;2013;0,91
CAH;68;2014;1,00
CAH;68;2015;0,94
CAH;68;2016;0,73
CAM;69;2012;
CAM;69;2013;
CAM;69;2014;
CAM;69;2015;
CAM;69;2016;
CAT;70;2012;0,83
CAT;70;2013;0,87
CAT;70;2014;0,85
CAT;70;2015;0,73
CAT;70;2016;0,95
CBG;71;2012;
CBG;71;2013;
CBG;71;2014;
CBG;71;2015;
CBG;71;2016;
CBS;72;2012;1,06
CBS;72;2013;1,62
CBS;72;2014;1,38
CBS;72;2015;1,17
CBS;72;2016;1,35
CCE;73;2012;1,22
CCE;73;2013;1,55
CCE;73;2014;1,64
CCE;73;2015;1,93
CCE;73;2016;1,09
CCI;74;2012;1,97
CCI;74;2013;1,74
CCI;74;2014;1,79
CCI;74;2015;1,86
CCI;74;2016;1,90
CCL;75;2012;1,09
CCL;75;2013;1,20
CCL;75;2014;1,19
CCL;75;2015;1,30
CCL;75;2016;1,31
CE;76;2012;0,95
CE;76;2013;1,10
CE;76;2014;1,18
CE;76;2015;1,29
CE;76;2016;1,50
CELG;77;2012;2,72
CELG;77;2013;5,07
CELG;77;2014;5,09
CELG;77;2015;3,74
CELG;77;2016;3,42
CERN;78;2012;3,27
CERN;78;2013;4,03
CERN;78;2014;
CERN;78;2015;
CERN;78;2016;
CF;79;2012;1,23
CF;79;2013;1,34
CF;79;2014;1,44
CF;79;2015;1,19
CF;79;2016;0,74
CHD;80;2012;1,92
CHD;80;2013;2,21
CHD;80;2014;2,54
CHD;80;2015;2,75
CHD;80;2016;2,79
CHRW;81;2012;3,48
CHRW;81;2013;3,16
CHRW;81;2014;3,40
CHRW;81;2015;2,86
CHRW;81;2016;2,90
CHTR;82;2012;1,33
CHTR;82;2013;1,65
CHTR;82;2014;1,60
CHTR;82;2015;1,42
CHTR;82;2016;0,96
CI;83;2012;0,41
CI;83;2013;0,58
CI;83;2014;0,64
CI;83;2015;0,80
CI;83;2016;0,70
CIT;84;2012;
CIT;84;2013;
CIT;84;2014;
CIT;84;2015;
CIT;84;2016;
CL;85;2012;3,96
CL;85;2013;4,60
CL;85;2014;5,01
CL;85;2015;5,44
CL;85;2016;5,22
CLR;86;2012;1,90
CLR;86;2013;2,17
CLR;86;2014;1,37
CLR;86;2015;1,06
CLR;86;2016;1,88
CLX;87;2012;2,57
CLX;87;2013;3,17
CLX;87;2014;3,27
CLX;87;2015;4,33
CLX;87;2016;3,78
CMCSA;88;2012;0,75
CMCSA;88;2013;1,09
CMCSA;88;2014;1,15
CMCSA;88;2015;1,16
CMCSA;88;2016;1,24
CME;89;2012;0,46
CME;89;2013;0,50
CME;89;2014;0,43
CME;89;2015;0,47
CME;89;2016;0,06
CMG;90;2012;
CMG;90;2013;
CMG;90;2014;
CMG;90;2015;
CMG;90;2016;
CMI;91;2012;1,37
CMI;91;2013;1,54
CMI;91;2014;1,45
CMI;91;2015;0,85
CMI;91;2016;1,41
CNO;92;2012;0,14
CNO;92;2013;0,21
CNO;92;2014;0,21
CNO;92;2015;
CNO;92;2016;
CNP;93;2012;0,76
CNP;93;2013;0,83
CNP;93;2014;0,76
CNP;93;2015;0,73
CNP;93;2016;0,84
CNX;94;2012;0,79
CNX;94;2013;1,01
CNX;94;2014;0,95
CNX;94;2015;0,49
CNX;94;2016;0,74
COF;95;2012;0,22
COF;95;2013;0,26
COF;95;2014;0,28
COF;95;2015;0,23
COF;95;2016;0,25
COH;96;2012;
COH;96;2013;
COH;96;2014;
COH;96;2015;
COH;96;2016;
COL;97;2012;1,44
COL;97;2013;1,51
COL;97;2014;1,67
COL;97;2015;1,69
COL;97;2016;1,60
COP;98;2012;0,73
COP;98;2013;0,88
COP;98;2014;0,89
COP;98;2015;0,84
COP;98;2016;0,96
COST;99;2012;1,54
COST;99;2013;1,78
COST;99;2014;1,86
COST;99;2015;2,12
COST;99;2016;1,93
CPB;100;2012;1,94
CPB;100;2013;2,19
CPB;100;2014;2,00
CPB;100;2015;2,27
CPB;100;2016;2,44
CRM;101;2012;4,70
CRM;101;2013;4,29
CRM;101;2014;4,53
CRM;101;2015;4,71
CRM;101;2016;3,90
CSCO;102;2012;0,72
CSCO;102;2013;0,92
CSCO;102;2014;0,95
CSCO;102;2015;1,04
CSCO;102;2016;0,99
CSX;103;2012;0,94
CSX;103;2013;1,19
CSX;103;2014;1,36
CSX;103;2015;1,00
CSX;103;2016;1,24
CTL;104;2012;0,83
CTL;104;2013;0,76
CTL;104;2014;0,89
CTL;104;2015;0,72
CTL;104;2016;0,67
CTSH;105;2012;
CTSH;105;2013;3,23
CTSH;105;2014;2,54
CTSH;105;2015;2,47
CTSH;105;2016;2,01
CTXS;106;2012;1,95
CTXS;106;2013;1,75
CTXS;106;2014;1,70
CTXS;106;2015;1,93
CTXS;106;2016;1,82
CVS;107;2012;0,95
CVS;107;2013;1,22
CVS;107;2014;1,54
CVS;107;2015;1,38
CVS;107;2016;1,11
CVX;108;2012;0,86
CVX;108;2013;0,95
CVX;108;2014;0,84
CVX;108;2015;0,73
CVX;108;2016;1,00
CXO;109;2012;1,38
CXO;109;2013;1,59
CXO;109;2014;1,26
CXO;109;2015;1,16
CXO;109;2016;1,84
D;110;2012;1,05
D;110;2013;1,16
D;110;2014;1,26
D;110;2015;1,15
D;110;2016;1,15
DAL;111;2012;
DAL;111;2013;
DAL;111;2014;
DAL;111;2015;
DAL;111;2016;
DD;112;2012;
DD;112;2013;
DD;112;2014;
DD;112;2015;
DD;112;2016;
DE;113;2012;0,57
DE;113;2013;0,49
DE;113;2014;0,47
DE;113;2015;0,46
DE;113;2016;0,51
DFS;114;2012;0,54
DFS;114;2013;0,55
DFS;114;2014;0,58
DFS;114;2015;0,48
DFS;114;2016;0,50
DG;115;2012;
DG;115;2013;
DG;115;2014;
DG;115;2015;
DG;115;2016;
DGX;116;2012;1,30
DGX;116;2013;1,18
DGX;116;2014;1,32
DGX;116;2015;1,34
DGX;116;2016;1,56
DHR;117;2012;0,94
DHR;117;2013;1,15
DHR;117;2014;1,22
DHR;117;2015;1,22
DHR;117;2016;1,41
DIS;118;2012;1,27
DIS;118;2013;1,70
DIS;118;2014;1,97
DIS;118;2015;2,08
DIS;118;2016;2,01
DISCA;119;2012;1,10
DISCA;119;2013;1,31
DISCA;119;2014;1,33
DISCA;119;2015;1,12
DISCA;119;2016;1,12
DISH ;120;2012;
DISH ;120;2013;
DISH ;120;2014;
DISH ;120;2015;
DISH ;120;2016;
DLTR;121;2012;3,26
DLTR;121;2013;4,62
DLTR;121;2014;3,65
DLTR;121;2015;1,27
DLTR;121;2016;1,39
DOV;122;2012;1,21
DOV;122;2013;1,62
DOV;122;2014;1,46
DOV;122;2015;1,29
DOV;122;2016;1,40
DOW;123;2012;
DOW;123;2013;
DOW;123;2014;
DOW;123;2015;
DOW;123;2016;
DPS;124;2012;1,04
DPS;124;2013;1,17
DPS;124;2014;1,97
DPS;124;2015;2,27
DPS;124;2016;1,98
DTE;125;2012;0,65
DTE;125;2013;0,75
DTE;125;2014;0,83
DTE;125;2015;0,81
DTE;125;2016;0,89
DUK;126;2012;0,71
DUK;126;2013;0,74
DUK;126;2014;0,79
DUK;126;2015;0,73
DUK;126;2016;0,78
DVA;127;2012;1,19
DVA;127;2013;1,21
DVA;127;2014;1,31
DVA;127;2015;1,16
DVA;127;2016;1,07
DVN;128;2012;0,61
DVN;128;2013;0,74
DVN;128;2014;0,68
DVN;128;2015;0,84
DVN;128;2016;1,15
EBAY;129;2012;0,58
EBAY;129;2013;0,56
EBAY;129;2014;0,59
EBAY;129;2015;1,90
EBAY;129;2016;1,46
ECL;130;2012;1,43
ECL;130;2013;1,85
ECL;130;2014;1,84
ECL;130;2015;2,06
ECL;130;2016;2,13
EFX;131;2012;1,79
EFX;131;2013;2,11
EFX;131;2014;2,37
EFX;131;2015;3,20
EFX;131;2016;2,53
EIX;132;2012;0,56
EIX;132;2013;0,61
EIX;132;2014;0,67
EIX;132;2015;0,65
EIX;132;2016;0,73
EMC;133;2012;
EMC;133;2013;
EMC;133;2014;
EMC;133;2015;
EMC;133;2016;
EMN;134;2012;1,19
EMN;134;2013;1,28
EMN;134;2014;1,08
EMN;134;2015;1,01
EMN;134;2016;1,05
EMR;135;2012;1,64
EMR;135;2013;2,09
EMR;135;2014;1,86
EMR;135;2015;1,55
EMR;135;2016;2,01
EOG;136;2012;1,39
EOG;136;2013;1,65
EOG;136;2014;1,56
EOG;136;2015;1,67
EOG;136;2016;1,66
EPD;137;2012;1,72
EPD;137;2013;1,98
EPD;137;2014;1,94
EPD;137;2015;1,54
EPD;137;2016;1,54
EQIX;138;2012;2,02
EQIX;138;2013;1,55
EQIX;138;2014;1,97
EQIX;138;2015;2,07
EQIX;138;2016;2,40
EQR;139;2012;1,54
EQR;139;2013;1,08
EQR;139;2014;1,62
EQR;139;2015;1,78
EQR;139;2016;1,57
EQT;140;2012;1,25
EQT;140;2013;1,59
EQT;140;2014;1,10
EQT;140;2015;0,66
EQT;140;2016;0,88
ESRX;141;2012;1,06
ESRX;141;2013;1,33
ESRX;141;2014;1,47
ESRX;141;2015;1,47
ESRX;141;2016;1,17
ETP;142;2012;0,62
ETP;142;2013;0,85
ETP;142;2014;0,80
ETP;142;2015;0,76
ETP;142;2016;0,80
ETR;143;2012;0,55
ETR;143;2013;0,54
ETR;143;2014;0,59
ETR;143;2015;0,54
ETR;143;2016;0,59
EXC;144;2012;0,53
EXC;144;2013;0,49
EXC;144;2014;0,56
EXC;144;2015;0,46
EXC;144;2016;0,57
EXPE;145;2012;1,39
EXPE;145;2013;1,47
EXPE;145;2014;1,54
EXPE;145;2015;1,60
EXPE;145;2016;1,45
EXR;146;2012;1,74
EXR;146;2013;1,68
EXR;146;2014;2,08
EXR;146;2015;2,38
EXR;146;2016;1,98
F;147;2012;0,35
F;147;2013;0,40
F;147;2014;0,42
F;147;2015;0,56
F;147;2016;0,52
FAST;148;2012;7,02
FAST;148;2013;6,23
FAST;148;2014;5,45
FAST;148;2015;4,28
FAST;148;2016;4,69
FB;149;2012;3,60
FB;149;2013;7,61
FB;149;2014;
FB;149;2015;
FB;149;2016;1,30
FDX;150;2012;0,83
FDX;150;2013;0,91
FDX;150;2014;1,55
FDX;150;2015;1,22
FDX;150;2016;1,30
FE;151;2012;0,42
FE;151;2013;0,35
FE;151;2014;0,36
FE;151;2015;0,31
FE;151;2016;0,41
FIS;152;2012;1,02
FIS;152;2013;1,38
FIS;152;2014;1,51
FIS;152;2015;1,14
FIS;152;2016;1,30
FISV;153;2012;1,55
FISV;153;2013;1,96
FISV;153;2014;2,23
FISV;153;2015;2,67
FISV;153;2016;2,82
FITB;154;2012;0,20
FITB;154;2013;0,18
FITB;154;2014;0,17
FITB;154;2015;0,22
FITB;154;2016;0,25
FLT;155;2012;1,76
FLT;155;2013;2,72
FLT;155;2014;1,94
FLT;155;2015;1,97
FLT;155;2016;1,69
FNMA;156;2012;1,03
FNMA;156;2013;1,03
FNMA;156;2014;1,03
FNMA;156;2015;1,03
FNMA;156;2016;1,03
FOX;157;2012;0,97
FOX;157;2013;1,65
FOX;157;2014;1,61
FOX;157;2015;1,34
FOX;157;2016;1,25
GD;158;2012;0,70
GD;158;2013;0,90
GD;158;2014;0,13
GD;158;2015;0,14
GD;158;2016;1,57
GE;159;2012;0,34
GE;159;2013;0,41
GE;159;2014;0,60
GE;159;2015;0,76
GE;159;2016;0,84
GGP;160;2012;1,28
GGP;160;2013;1,34
GGP;160;2014;1,64
GGP;160;2015;1,59
GGP;160;2016;1,52
GILD;161;2012;2,87
GILD;161;2013;5,25
GILD;161;2014;4,08
GILD;161;2015;2,90
GILD;161;2016;1,93
GIS;162;2012;1,45
GIS;162;2013;1,67
GIS;162;2014;1,67
GIS;162;2015;1,97
GIS;162;2016;2,04
GLW;163;2012;0,48
GLW;163;2013;0,74
GLW;163;2014;0,89
GLW;163;2015;0,75
GLW;163;2016;0,79
GM;164;2012;0,30
GM;164;2013;0,40
GM;164;2014;0,34
GM;164;2015;0,50
GM;164;2016;0,51
GPC;165;2012;1,14
GPC;165;2013;1,47
GPC;165;2014;1,80
GPC;165;2015;1,42
GPC;165;2016;1,47
GPS;166;2012;2,02
GPS;166;2013;2,16
GPS;166;2014;2,05
GPS;166;2015;1,38
GPS;166;2016;1,32
GS;167;2012;0,34
GS;167;2013;0,41
GS;167;2014;0,44
GS;167;2015;0,42
GS;167;2016;0,42
GWW;168;2012;2,53
GWW;168;2013;3,07
GWW;168;2014;3,01
GWW;168;2015;2,17
GWW;168;2016;2,48
HAL;169;2012;1,05
HAL;169;2013;1,45
HAL;169;2014;1,01
HAL;169;2015;0,79
HAL;169;2016;1,90
HCA;170;2012;1,40
HCA;170;2013;1,60
HCA;170;2014;1,82
HCA;170;2015;1,63
HCA;170;2016;1,64
HCP;171;2012;1,35
HCP;171;2013;1,18
HCP;171;2014;1,28
HCP;171;2015;1,27
HCP;171;2016;1,49
HD;172;2012;2,34
HD;172;2013;2,74
HD;172;2014;3,46
HD;172;2015;3,94
HD;172;2016;3,74
HES;173;2012;0,58
HES;173;2013;0,71
HES;173;2014;0,67
HES;173;2015;0,54
HES;173;2016;0,85
HIG;174;2012;0,02
HIG;174;2013;0,05
HIG;174;2014;0,06
HIG;174;2015;0,07
HIG;174;2016;0,07
HLT ;175;2012;
HLT ;175;2013;1,05
HLT ;175;2014;1,13
HLT ;175;2015;0,98
HLT ;175;2016;
HOG;176;2012;1,40
HOG;176;2013;1,83
HOG;176;2014;1,70
HOG;176;2015;1,20
HOG;176;2016;1,41
HON;177;2012;1,22
HON;177;2013;1,54
HON;177;2014;1,68
HON;177;2015;1,69
HON;177;2016;1,73
HOT;178;2012;
HOT;178;2013;
HOT;178;2014;
HOT;178;2015;
HOT;178;2016;
HRL;179;2012;1,42
HRL;179;2013;2,13
HRL;179;2014;2,44
HRL;179;2015;2,81
HRL;179;2016;3,08
HSIC;180;2012;1,19
HSIC;180;2013;1,59
HSIC;180;2014;1,77
HSIC;180;2015;1,91
HSIC;180;2016;1,74
HST;181;2012;1,26
HST;181;2013;1,46
HST;181;2014;1,71
HST;181;2015;1,32
HST;181;2016;1,53
HSY;182;2012;3,59
HSY;182;2013;4,20
HSY;182;2014;4,31
HSY;182;2015;3,98
HSY;182;2016;4,42
HUM;183;2012;0,48
HUM;183;2013;0,70
HUM;183;2014;0,92
HUM;183;2015;1,10
HUM;183;2016;1,14
IBM;184;2012;1,95
IBM;184;2013;1,74
IBM;184;2014;1,59
IBM;184;2015;1,43
IBM;184;2016;1,57
ICE;185;2012;0,23
ICE;185;2013;0,46
ICE;185;2014;0,40
ICE;185;2015;0,47
ICE;185;2016;0,47
IEP;186;2012;0,13
IEP;186;2013;0,25
IEP;186;2014;0,30
IEP;186;2015;0,28
IEP;186;2016;0,37
ILMN;187;2012;2,42
ILMN;187;2013;4,53
ILMN;187;2014;7,88
ILMN;187;2015;7,49
ILMN;187;2016;4,26
INCY ;188;2012;7,19
INCY ;188;2013;13,45
INCY ;188;2014;15,85
INCY ;188;2015;20,04
INCY ;188;2016;
INTC;189;2012;1,15
INTC;189;2013;1,34
INTC;189;2014;1,88
INTC;189;2015;1,58
INTC;189;2016;1,56
INTU;190;2012;3,97
INTU;190;2013;4,92
INTU;190;2014;4,87
INTU;190;2015;6,97
INTU;190;2016;7,46
IP;191;2012;0,73
IP;191;2013;0,83
IP;191;2014;0,98
IP;191;2015;0,71
IP;191;2016;0,92
IPG;192;2012;0,43
IPG;192;2013;0,68
IPG;192;2014;0,77
IPG;192;2015;0,87
IPG;192;2016;0,86
ISRG;193;2012;
ISRG;193;2013;
ISRG;193;2014;
ISRG;193;2015;
ISRG;193;2016;
ITT;194;2012;0,42
ITT;194;2013;0,84
ITT;194;2014;
ITT;194;2015;
ITT;194;2016;
ITW;195;2012;1,40
ITW;195;2013;1,76
ITW;195;2014;2,17
ITW;195;2015;2,31
ITW;195;2016;3,05
IVZ;196;2012;0,95
IVZ;196;2013;1,02
IVZ;196;2014;1,13
IVZ;196;2015;0,74
IVZ;196;2016;0,64
JBHT;197;2012;3,06
JBHT;197;2013;3,39
JBHT;197;2014;3,08
JBHT;197;2015;2,49
JBHT;197;2016;2,89
JCI;198;2012;0,70
JCI;198;2013;0,96
JCI;198;2014;1,04
JCI;198;2015;0,81
JCI;198;2016;1,02
JNJ;199;2012;1,52
JNJ;199;2013;1,82
JNJ;199;2014;2,11
JNJ;199;2015;1,98
JNJ;199;2016;2,10
JNPR;200;2012;0,90
JNPR;200;2013;0,96
JNPR;200;2014;1,13
JNPR;200;2015;1,29
JNPR;200;2016;1,11
JPM;201;2012;0,20
JPM;201;2013;0,15
JPM;201;2014;0,10
JPM;201;2015;0,15
JPM;201;2016;0,17
JWN;202;2012;1,42
