"","Ticker","Year","StockPriceClose","PriceToEarningRatio"
"1","A",2012,28.59,8.74311926605505
"2","A",2013,33.46,15.7089201877934
"3","A",2014,40.62,25.0740740740741
"4","A",2015,39.6,33
"5","A",2016,43.37,30.9785714285714
"6","AAL",2012,10.5,-1.39627659574468
"7","AAL",2013,18.19,-2.78134556574924
"8","AAL",2014,38.92,9.90330788804071
"9","AAL",2015,45.12,4.07588075880759
"10","AAL",2016,38.18,7.93762993762994
"11","AAP",2012,76.07,14.5727969348659
"12","AAP",2013,85.21,16.0169172932331
"13","AAP",2014,130.94,19.5141579731744
"14","AAP",2015,163.65,25.5703125
"15","AAP",2016,155.49,25.0790322580645
"16","AAPL",2012,82.29,13.041204437401
"17","AAPL",2013,67.52,11.887323943662
"18","AAPL",2014,92.26,14.3038759689922
"19","AAPL",2015,120.04,13.0195227765727
"20","AAPL",2016,104.6,12.5872442839952
"21","ABBV",2012,NA,NA
"22","ABBV",2013,43.66,17.0546875
"23","ABBV",2014,55.46,50.4181818181818
"24","ABBV",2015,62.1,19.8402555910543
"25","ABBV",2016,60.67,16.7134986225895
"26","ABC",2012,38.83,13.8678571428571
"27","ABC",2013,56.84,30.8913043478261
"28","ABC",2014,74.65,64.3534482758621
"29","ABC",2015,104.1,-165.238095238095
"30","ABC",2016,83.21,13.1661392405063
"31","ABT",2012,30.11,8.09408602150538
"32","ABT",2013,35.65,22.0061728395062
"33","ABT",2014,40.95,27.4832214765101
"34","ABT",2015,46.31,15.8595890410959
"35","ABT",2016,40.49,43.0744680851064
"36","ACIW",2012,13.45,32.8048780487805
"37","ACIW",2013,16.8,31.6981132075472
"38","ACIW",2014,19.16,33.0344827586207
"39","ACIW",2015,22.25,30.9027777777778
"40","ACIW",2016,19.21,17.6238532110092
"41","ADBE",2012,32.67,19.6807228915663
"42","ADBE",2013,46.8,83.5714285714286
"43","ADBE",2014,67.45,127.264150943396
"44","ADBE",2015,80.97,65.2983870967742
"45","ADBE",2016,97.33,41.9525862068966
"46","ADI",2012,38.94,18.2816901408451
"47","ADI",2013,46.59,21.7710280373832
"48","ADI",2014,51.42,25.969696969697
"49","ADI",2015,59.66,27.1181818181818
"50","ADI",2016,60.22,21.8188405797101
"51","ADM",2012,29,15.7608695652174
"52","ADM",2013,35.31,17.480198019802
"53","ADM",2014,46.15,13.4548104956268
"54","ADM",2015,45.91,15.4060402684564
"55","ADM",2016,40.59,18.7916666666667
"56","ADP",2012,49.09,17.4078014184397
"57","ADP",2013,61.19,21.1730103806228
"58","ADP",2014,72.47,23.0796178343949
"59","ADP",2015,84.37,27.6622950819672
"60","ADP",2016,89.05,27.4
"61","ADS",2012,130.48,19.8297872340426
"62","ADS",2013,191.87,25.8584905660377
"63","ADS",2014,265.41,33.7242693773825
"64","ADS",2015,284.97,32.2
"65","ADS",2016,214.57,29.232970027248
"66","ADSK",2012,34.75,28.4836065573771
"67","ADSK",2013,39.15,36.588785046729
"68","ADSK",2014,53.83,53.83
"69","ADSK",2015,56.12,160.342857142857
"70","ADSK",2016,61.73,-42.2808219178082
"71","AEE",2012,32.2,-8.02992518703242
"72","AEE",2013,34.64,29.3559322033898
"73","AEE",2014,40.02,16.675
"74","AEE",2015,41.82,16.1467181467181
"75","AEE",2016,49.01,18.2873134328358
"76","AEP",2012,40.97,15.7576923076923
"77","AEP",2013,46.06,15.1513157894737
"78","AEP",2014,52.91,15.8413173652695
"79","AEP",2015,56.69,13.5947242206235
"80","AEP",2016,64.09,51.6854838709677
"81","AET",2012,42.69,8.87525987525988
"82","AET",2013,59.34,11.1332082551595
"83","AET",2014,78.03,13.737676056338
"84","AET",2015,109.05,16.0840707964602
"85","AET",2016,114.76,17.9032761310452
"86","AFL",2012,23.18,7.57516339869281
"87","AFL",2013,28.98,8.57396449704142
"88","AFL",2014,30.72,9.45230769230769
"89","AFL",2015,30.88,10.5753424657534
"90","AFL",2016,33.91,10.5638629283489
"91","AGN",2012,74.42,97.9210526315789
"92","AGN",2013,122.96,-23.3320683111954
"93","AGN",2014,220.03,-29.6536388140162
"94","AGN",2015,297.2,29.6903096903097
"95","AGN",2016,241.7,6.33053954950236
"96","AIG",2012,31.32,15.3529411764706
"97","AIG",2013,44.59,7.27406199021207
"98","AIG",2014,52.77,10.1480769230769
"99","AIG",2015,58.76,35.6121212121212
"100","AIG",2016,57.3,-73.4615384615385
"101","AKAM",2012,35.2,31.4285714285714
"102","AKAM",2013,43.62,27.0931677018634
"103","AKAM",2014,57.85,31.4402173913043
"104","AKAM",2015,68.47,38.4662921348315
"105","AKAM",2016,55.18,30.8268156424581
"106","ALL",2012,35.42,7.56837606837607
"107","ALL",2013,49.48,10.2869022869023
"108","ALL",2014,59.35,9.46570972886762
"109","ALL",2015,65.9,13.0495049504951
"110","ALL",2016,67.31,14.4132762312634
"111","ALXN",2012,94.3,73.671875
"112","ALXN",2013,104.99,82.6692913385827
"113","ALXN",2014,166.73,51.1441717791411
"114","ALXN",2015,177.65,265.149253731343
"115","ALXN",2016,134.86,76.625
"116","AMAT",2012,11.45,127.222222222222
"117","AMAT",2013,15.27,72.7142857142857
"118","AMAT",2014,20.9,24.0229885057471
"119","AMAT",2015,19.58,17.4821428571429
"120","AMAT",2016,24.71,16.0454545454545
"121","AME",2012,33.66,17.9042553191489
"122","AME",2013,44.11,21.0047619047619
"123","AME",2014,51.75,21.8354430379747
"124","AME",2015,53.42,21.8040816326531
"125","AME",2016,47.69,21.7762557077626
"126","AMG",2012,113.58,34.6280487804878
"127","AMG",2013,170.66,26.0549618320611
"128","AMG",2014,198.15,25.7337662337662
"129","AMG",2015,200.26,21.8386041439477
"130","AMG",2016,148,17.269544924154
"131","AMGN",2012,76.37,13.8351449275362
"132","AMGN",2013,103.93,15.6521084337349
"133","AMGN",2014,131.03,19.5567164179104
"134","AMGN",2015,158.12,17.4525386313466
"135","AMGN",2016,156.02,15.236328125
"136","AMP",2012,54.81,11.8636363636364
"137","AMP",2013,84.71,13.1537267080745
"138","AMP",2014,117.76,14.1879518072289
"139","AMP",2015,122.1,14.3985849056604
"140","AMP",2016,97.25,12.4519846350832
"141","AMT",2012,68.42,42.7625
"142","AMT",2013,76.57,55.4855072463768
"143","AMT",2014,90.47,45.235
"144","AMT",2015,95.84,67.9716312056738
"145","AMT",2016,105.85,53.459595959596
"146","AMZN",2012,220.3,-2447.77777777778
"147","AMZN",2013,298.03,505.135593220339
"148","AMZN",2014,332.55,-639.519230769231
"149","AMZN",2015,478.14,382.512
"150","AMZN",2016,699.52,142.759183673469
"151","ANDV",2012,31.2,5.94285714285714
"152","ANDV",2013,52.35,17.45
"153","ANDV",2014,59.93,9.30590062111801
"154","ANDV",2015,94.06,7.61003236245955
"155","ANDV",2016,81.71,13.3513071895425
"156","APA",2012,89.5,18.1910569105691
"157","APA",2013,82.67,15.0309090909091
"158","APA",2014,85.72,-3.93933823529412
"159","APA",2015,54.36,-1.98394160583942
"160","APA",2016,53.5,-14.4204851752022
"161","APC",2012,72.95,15.3902953586498
"162","APC",2013,87.16,55.1645569620253
"163","APC",2014,94.81,-27.3227665706052
"164","APC",2015,75.04,-5.69347496206373
"165","APC",2016,53.11,-9.00169491525424
"166","APD",2012,77.97,14.3327205882353
"167","APD",2013,90.39,19.3141025641026
"168","APD",2014,116.73,25.3210412147505
"169","APD",2015,131.87,22.4268707482993
"170","APD",2016,133.3,46.1245674740484
"171","APH",2012,28.85,17.0710059171598
"172","APH",2013,38.49,19.6377551020408
"173","APH",2014,48.44,21.9185520361991
"174","APH",2015,55.13,22.2298387096774
"175","APH",2016,59.27,22.1985018726592
"176","ATVI",2012,11.86,11.7425742574257
"177","ATVI",2013,15.4,16.2105263157895
"178","ATVI",2014,20.63,18.2566371681416
"179","ATVI",2015,27.62,23.2100840336134
"180","ATVI",2016,37.9,29.609375
"181","AVB",2012,137.92,31.9259259259259
"182","AVB",2013,129.84,46.705035971223
"183","AVB",2014,142.56,27.362763915547
"184","AVB",2015,171.93,31.2032667876588
"185","AVB",2016,176.33,23.4481382978723
"186","AWK",2012,35.26,17.5422885572139
"187","AWK",2013,40.95,19.878640776699
"188","AWK",2014,47.78,20.331914893617
"189","AWK",2015,54.23,20.5416666666667
"190","AWK",2016,72.59,27.706106870229
"191","AXP",2012,56.01,14.3984575835476
"192","AXP",2013,72.86,14.9303278688525
"193","AXP",2014,89.79,16.1492805755396
"194","AXP",2015,77.96,15.4376237623762
"195","AXP",2016,63.79,11.2902654867257
"196","AZO",2012,370,15.7580919931857
"197","AZO",2013,415.17,14.9395465994962
"198","AZO",2014,534.71,16.9372822299652
"199","AZO",2015,696.88,19.3416597280044
"200","AZO",2016,768.86,18.8909090909091
"201","BA",2012,73.23,14.3307240704501
"202","BA",2013,103.11,17.3003355704698
"203","BA",2014,128.36,17.3929539295393
"204","BA",2015,143.51,19.2889784946237
"205","BA",2016,133.11,17.4914586070959
"206","BAC",2012,8.45,33.8
"207","BAC",2013,13.45,14.9444444444444
"208","BAC",2014,16.34,38.9047619047619
"209","BAC",2015,16.58,12.6564885496183
"210","BAC",2016,15.43,10.3557046979866
"211","BAX",2012,31.52,7.54066985645933
"212","BAX",2013,37.67,10.292349726776
"213","BAX",2014,39.26,8.60964912280702
"214","BAX",2015,37.42,21.2613636363636
"215","BAX",2016,43.9,4.87236403995561
"216","BBBY",2012,63.58,15.6600985221675
"217","BBBY",2013,69.97,15.344298245614
"218","BBBY",2014,65.69,13.713987473904
"219","BBBY",2015,66.57,13.1301775147929
"220","BBBY",2016,44.99,8.82156862745098
"221","BBT",2012,30.25,11.2037037037037
"222","BBT",2013,33.05,15.0913242009132
"223","BBT",2014,38,13.9705882352941
"224","BBT",2015,38.37,14.98828125
"225","BBT",2016,37.01,13.3610108303249
"226","BBY",2012,19.67,-5.85416666666667
"227","BBY",2013,29.47,NA
"228","BBY",2014,30.27,19.7843137254902
"229","BBY",2015,35.23,10.0945558739255
"230","BBY",2016,34.86,13.6171875
"231","BCR",2012,NA,NA
"232","BCR",2013,NA,NA
"233","BCR",2014,NA,NA
"234","BCR",2015,NA,NA
"235","BCR",2016,NA,NA
"236","BDX",2012,76.36,13.6601073345259
"237","BDX",2013,98.03,15.1047765793528
"238","BDX",2014,119.31,19.9181969949917
"239","BDX",2015,143.94,42.9671641791045
"240","BDX",2016,163.87,36.4966592427617
"241","BEN",2012,39.47,13.244966442953
"242","BEN",2013,50.06,14.8545994065282
"243","BEN",2014,54.96,14.5013192612137
"244","BEN",2015,46.6,14.1641337386018
"245","BEN",2016,36.13,12.2891156462585
"246","BF.A",2012,NA,NA
"247","BF.A",2013,NA,NA
"248","BF.A",2014,NA,NA
"249","BF.A",2015,NA,NA
"250","BF.A",2016,NA,NA
"251","BG",2012,65.44,344.421052631579
"252","BG",2013,75.56,48.7483870967742
"253","BG",2014,81.23,25.6246056782334
"254","BG",2015,80.44,15.8658777120316
"255","BG",2016,61.79,12.3333333333333
"256","BHI",2012,NA,NA
"257","BHI",2013,NA,NA
"258","BHI",2014,NA,NA
"259","BHI",2015,NA,NA
"260","BHI",2016,NA,NA
"261","BIIB",2012,136.52,23.7013888888889
"262","BIIB",2013,215.28,27.5646606914213
"263","BIIB",2014,317.98,25.7057396928052
"264","BIIB",2015,352.59,22.9850065189048
"265","BIIB",2016,280.2,16.5505020673361
"266","BK",2012,22.61,13.0693641618497
"267","BK",2013,29.91,17.2890173410405
"268","BK",2014,36.46,16.9581395348837
"269","BK",2015,41.31,15.2435424354244
"270","BK",2016,40.3,12.7936507936508
"271","BKE",2012,42.71,13.346875
"272","BKE",2013,49.22,14.3081395348837
"273","BKE",2014,46.66,13.76401179941
"274","BKE",2015,42.83,12.6715976331361
"275","BKE",2016,26.5,8.66013071895425
"276","BLK",2012,185.49,13.4510514865845
"277","BLK",2013,269.72,15.9881446354475
"278","BLK",2014,319.12,16.5776623376623
"279","BLK",2015,347.16,17.5421930267812
"280","BLK",2016,350.09,18.3870798319328
"281","BLL",2012,20.79,16.632
"282","BLL",2013,23.02,16.9264705882353
"283","BLL",2014,30.19,18.2969696969697
"284","BLL",2015,34.69,34.69
"285","BLL",2016,36.81,45.4444444444444
"286","BMRN",2012,39.14,-41.2
"287","BMRN",2013,63.43,-49.5546875
"288","BMRN",2014,70.75,-76.9021739130435
"289","BMRN",2015,117.05,-109.392523364486
"290","BMRN",2016,86.7,-22.755905511811
"291","BMY",2012,33.3,28.7068965517241
"292","BMY",2013,43.85,28.474025974026
"293","BMY",2014,52.21,43.5083333333333
"294","BMY",2015,64.52,69.3763440860215
"295","BMY",2016,63.19,23.8452830188679
"296","BRK.A",2012,NA,NA
"297","BRK.A",2013,NA,NA
"298","BRK.A",2014,NA,NA
"299","BRK.A",2015,NA,NA
"300","BRK.A",2016,NA,NA
"301","BSX",2012,5.7,-1.97231833910035
"302","BSX",2013,9.6,-106.666666666667
"303","BSX",2014,12.87,-143
"304","BSX",2015,17.19,-95.5
"305","BSX",2016,21.26,85.04
"306","BWA",2012,36.09,17.2679425837321
"307","BWA",2013,44.62,16.5259259259259
"308","BWA",2014,59.53,20.8146853146853
"309","BWA",2015,51.98,19.2518518518518
"310","BWA",2016,34.55,62.8181818181818
"311","BX",2012,14.3,34.8780487804878
"312","BX",2013,22.62,11.4242424242424
"313","BX",2014,32.24,12.4961240310078
"314","BX",2015,36.84,35.4230769230769
"315","BX",2016,26.34,16.8846153846154
"316","BXP",2012,106.17,55.296875
"317","BXP",2013,105.83,21.7757201646091
"318","BXP",2014,118.46,41.8586572438163
"319","BXP",2015,128.69,34.5940860215054
"320","BXP",2016,127.66,39.159509202454
"321","C",2012,32.18,13.1885245901639
"322","C",2013,48.26,11.1198156682028
"323","C",2014,50.19,22.8136363636364
"324","C",2015,53.28,9.86666666666667
"325","C",2016,46.39,9.82838983050848
"326","CA",2012,25.18,13.0466321243523
"327","CA",2013,28.33,13.752427184466
"328","CA",2014,29.96,14.8316831683168
"329","CA",2015,29.83,15.7
"330","CA",2016,31.44,17.3701657458564
"331","CAG",2012,20.63,18.4196428571429
"332","CAG",2013,26.23,14.1783783783784
"333","CAG",2014,25.06,35.8
"334","CAG",2015,30.81,-51.35
"335","CAG",2016,35.37,-22.5286624203822
"336","CAH",2012,41.21,13.4673202614379
"337","CAH",2013,50.63,52.1958762886598
"338","CAH",2014,72.39,21.4171597633136
"339","CAH",2015,85.7,23.6740331491713
"340","CAH",2016,78.53,18.1782407407407
"341","CAM",2012,NA,NA
"342","CAM",2013,NA,NA
"343","CAM",2014,NA,NA
"344","CAM",2015,NA,NA
"345","CAM",2016,66.01,NA
"346","CAT",2012,93.87,11.0695754716981
"347","CAT",2013,86.96,15.1234782608696
"348","CAT",2014,100.71,25.8230769230769
"349","CAT",2015,78.79,18.8492822966507
"350","CAT",2016,78.7,-715.454545454545
"351","CBG",2012,NA,NA
"352","CBG",2013,NA,NA
"353","CBG",2014,NA,NA
"354","CBG",2015,NA,NA
"355","CBG",2016,NA,NA
"356","CBS",2012,32.97,13.7949790794979
"357","CBS",2013,50.77,16.8671096345515
"358","CBS",2014,58.64,11.1271347248577
"359","CBS",2015,53.49,18.5086505190311
"360","CBS",2016,53.88,19.1743772241993
"361","CCE",2012,29,NA
"362","CCE",2013,38,NA
"363","CCE",2014,45.43,NA
"364","CCE",2015,46.93,NA
"365","CCE",2016,42.12,NA
"366","CCI",2012,58.68,91.6875
"367","CCI",2013,72.55,279.038461538461
"368","CCI",2014,76.47,73.5288461538461
"369","CCI",2015,83.68,18.9321266968326
"370","CCI",2016,89.9,94.6315789473684
"371","CCL",2012,34.07,20.4011976047904
"372","CCL",2013,35.51,26.1102941176471
"373","CCL",2014,39.28,25.1794871794872
"374","CCL",2015,48.77,21.5796460176991
"375","CCL",2016,48.43,13.0188172043011
"376","CE",2012,42.05,18.0472103004292
"377","CE",2013,49.61,7.1794500723589
"378","CE",2014,58.55,14.6375
"379","CE",2015,63.71,31.855
"380","CE",2016,68.06,11.0129449838188
"381","CELG",2012,36.54,22.1454545454545
"382","CELG",2013,65.31,38.875
"383","CELG",2014,87.88,36.7698744769874
"384","CELG",2015,118.41,61.0360824742268
"385","CELG",2016,106.52,42.7791164658634
"386","CERN",2012,37.38,33.0796460176991
"387","CERN",2013,49.07,43.424778761062
"388","CERN",2014,57.19,38.1266666666667
"389","CERN",2015,66.47,43.1623376623377
"390","CERN",2016,56.63,30.6108108108108
"391","CF",2012,38.57,6.75481611208406
"392","CF",2013,40.38,8.15757575757576
"393","CF",2014,50.3,9.28044280442804
"394","CF",2015,56.38,19.0472972972973
"395","CF",2016,28.36,-23.8319327731092
"396","CHD",2012,25.97,21.1138211382114
"397","CHD",2013,31,22.1428571428571
"398","CHD",2014,34.65,22.9470198675497
"399","CHD",2015,42.32,27.4805194805195
"400","CHD",2016,46.75,26.7142857142857
"401","CHRW",2012,61.17,16.6675749318801
"402","CHRW",2013,59.02,22.2716981132075
"403","CHRW",2014,62.92,20.6295081967213
"404","CHRW",2015,68.3,19.4586894586895
"405","CHRW",2016,71.08,19.7994428969359
"406","CHTR",2012,68.45,-20.3115727002967
"407","CHTR",2013,114.05,-62.6648351648352
"408","CHTR",2014,146.57,-77.9627659574468
"409","CHTR",2015,180.29,-67.2723880597015
"410","CHTR",2016,229.5,14.3977415307403
"411","CI",2012,46.62,8.31016042780749
"412","CI",2013,71.8,13.8610038610039
"413","CI",2014,90.14,11.5121328224776
"414","CI",2015,134.44,16.7213930348259
"415","CI",2016,132.64,18.4478442280946
"416","CIT",2012,NA,NA
"417","CIT",2013,NA,NA
"418","CIT",2014,NA,NA
"419","CIT",2015,NA,NA
"420","CIT",2016,NA,NA
"421","CL",2012,50.46,19.6342412451362
"422","CL",2013,59.62,25.0504201680672
"423","CL",2014,65.91,43.3618421052632
"424","CL",2015,67.18,44.1973684210526
"425","CL",2016,70.1,25.7720588235294
"426","CLR",2012,NA,NA
"427","CLR",2013,NA,NA
"428","CLR",2014,NA,NA
"429","CLR",2015,NA,NA
"430","CLR",2016,NA,NA
"431","CLX",2012,71.13,17.3911980440098
"432","CLX",2013,85.44,19.8697674418605
"433","CLX",2014,92,21.7494089834515
"434","CLX",2015,113.29,25.9244851258581
"435","CLX",2016,126.45,25.7012195121951
"436","CMCSA",2012,16,14.0350877192982
"437","CMCSA",2013,21.63,16.8984375
"438","CMCSA",2014,26.64,16.65
"439","CMCSA",2015,29.49,18.2037037037037
"440","CMCSA",2016,31.63,17.7696629213483
"441","CME",2012,54.22,20.0814814814815
"442","CME",2013,69.14,23.6780821917808
"443","CME",2014,76.52,22.8417910447761
"444","CME",2015,93.79,25.4173441734417
"445","CME",2016,100.36,22.1545253863135
"446","CMG",2012,347.69,39.736
"447","CMG",2013,397.13,37.9302769818529
"448","CMG",2014,601.37,42.5598018400566
"449","CMG",2015,659.13,43.6509933774834
"450","CMG",2016,428.56,556.571428571429
"451","CMI",2012,103.07,11.8881199538639
"452","CMI",2013,121.39,15.346396965866
"453","CMI",2014,144.01,15.9656319290466
"454","CMI",2015,125.23,15.9732142857143
"455","CMI",2016,116.46,14.1506682867558
"456","CNO",2012,8.11,9.7710843373494
"457","CNO",2013,13.22,6.41747572815534
"458","CNO",2014,17.36,72.3333333333333
"459","CNO",2015,18.07,13
"460","CNO",2016,17.42,8.66666666666667
"461","CNP",2012,20.05,20.6701030927835
"462","CNP",2013,23.21,32.2361111111111
"463","CNP",2014,24.06,16.943661971831
"464","CNP",2015,19.6,-12.1739130434783
"465","CNP",2016,21.95,21.95
"466","CNX",2012,27.22,16.0117647058824
"467","CNX",2013,27.77,9.67595818815331
"468","CNX",2014,33.18,47.4
"469","CNX",2015,17.1,-10.4268292682927
"470","CNX",2016,12.43,-3.35945945945946
"471","COF",2012,54.32,8.89034369885434
"472","COF",2013,63.51,9.21770682148041
"473","COF",2014,78.62,10.3583662714097
"474","COF",2015,79.87,11.2970297029703
"475","COF",2016,71.28,10.3454281567489
"476","COH",2012,NA,NA
"477","COH",2013,NA,NA
"478","COH",2014,NA,NA
"479","COH",2015,NA,NA
"480","COH",2016,NA,NA
"481","COL",2012,54.09,13.033734939759
"482","COL",2013,66.54,14.528384279476
"483","COL",2014,79.03,17.8800904977376
"484","COL",2015,90,17.5438596491228
"485","COL",2016,87.1,15.8076225045372
"486","COP",2012,56,8.33333333333333
"487","COP",2013,64.64,8.75880758807588
"488","COP",2014,74.19,13.464609800363
"489","COP",2015,58.14,-16.2402234636872
"490","COP",2016,42.48,-14.5979381443299
"491","COST",2012,92.06,23.6658097686375
"492","COST",2013,111.8,24.14686825054
"493","COST",2014,121.58,26.1462365591398
"494","COST",2015,147.84,27.5307262569832
"495","COST",2016,154.35,28.9587242026266
"496","CPB",2012,33.78,14.0165975103734
"497","CPB",2013,42.73,29.6736111111111
"498","CPB",2014,43.87,16.0109489051095
"499","CPB",2015,48.33,22.6901408450704
"500","CPB",2016,59.54,32.8950276243094
"501","CRM",2012,35.73,-1786.5
"502","CRM",2013,45.94,-95.7083333333333
"503","CRM",2014,57.25,-146.794871794872
"504","CRM",2015,70.66,-168.238095238095
"505","CRM",2016,74.55,-1065
"506","CSCO",2012,18.58,12.4697986577181
"507","CSCO",2013,22.64,12.1720430107527
"508","CSCO",2014,24.25,16.2751677852349
"509","CSCO",2015,27.85,15.9142857142857
"510","CSCO",2016,28.79,13.6445497630332
